Dénomination,Raison Sociale,Responsable,Secteur,Activités,Produits,Adresse usine,District,Gouvernorat,Délégation,Téléphone siège/usine,Fax siège/usine,E-mail,URL,Régime,"Pays du Participant 
    Etranger",Entrée en production,Capital en DT,Emploi,Banque_Tunisienne_Associée
BARAKA DE CONDITIONNEMENT DE DATTES,STE BARAKA DE CONDITIONNEMENT DE DATTES,Lassaad Trigui,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de fruits et légumes.,BOUABDALLAH - 4230 - SOUK EL AHED,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Kebili,Souk el ahad,(216) - 25 448 726,(216) - 75 480 808,,,Totalement exportatrice,,24/05/2013,10 000,290.0,Attijari Bank
BARAKA HUILE SUPER,STE HUILERIE EL BARAKA D'HUILE SUPER,Moez Guedaouar,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,AIN EL BIDHA - 3130 - HAFFOUZ,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Haffouz,(216) - 98 214 473 / 77 224 436,(216) - 77 224 435,guedouarmoez@gmail.com,,Non totalement exportatrice,,04/12/2003,870 000,24.0,Banque de Tunisie
BAROUNI PAIN SPECIAL,BAROUNI PAIN SPECIAL,Yassine Barouni,Industries agro-alimentaires,Boulangerie - Pâtisserie.,Pâtisserie fraîche - Pains viennois artisanal - Autres produits de boulangerie.,"RUE MOSQUEE EL GHORBAA, TAOURIT - 4180 - JERBA","Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Jerba houmt souk,(216) - 27 540 098,,,,Non totalement exportatrice,,01/06/2023,10 000,12.0,Banque internationale arabe de Tunisie
BDPM,BDPM,Mourad Ben Ayed,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.","Poissons et autres fruits de mer congelés - Poissons, crustacés et mollusques surgelés.",PORT DE PECHE - 7021 - ZARZOUNA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Zarzouna,(216) - 72 593 275 / 72 593 215,(216) - 72 593 075,bdpm@gnet.tn,http://www.benayedseafood.tn,Totalement exportatrice,,20/05/2009,250 000,70.0,Arab Tunisian Bank
BECHER ABDELAZIZ BEN MAHMOUD,BECHER ABDELAZIZ BEN MAHMOUD,Abdelaziz Becher,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,EL GLELGA - 3080 - JEBENIANA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Jebeniana,(216) - 98 488 393,(216) - 74 881 658,,,Non totalement exportatrice,,01/12/2007,-,10.0,Banque de l'habitat
BELARBI DATTES,STE BELARBI DATTES,Chekib Belarbi,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,RTE DE TOZEUR - 2240 - NEFTA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Nefta,(216) - 98 825 477 / 73 431 029,,,,Totalement exportatrice,,24/04/2009,84 000,24.0,Banque Zitouna
BEN AISSA FRERES,STE BEN AISSA FRERES,Ali Ben Aissa,Industries agro-alimentaires,Aliments pour animaux de ferme.,Aliments complets pour les animaux de ferme.,AVE DE L'ENVIRONNEMENT - 7016 - EL ALIA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,El alia,(216) - 72 442 211,(216) - 72 442 699,benaissa_freres@yahoo.fr,,Non totalement exportatrice,,10/06/1994,81 000,18.0,Arab Tunisian Bank
BEN AMOR DE PRODUCTION D'ALIMENTS COMPOSES,STE BEN AMOR DE PRODUCTION D'ALIMENTS COMPOSES,Ala Eddine Ben Amor,Industries agro-alimentaires,Aliments pour animaux de ferme.,Aliments complets pour les animaux de ferme.,RUE HABIB BOUGATFA - 5040 - ZERAMDINE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Zeramdine,(216) - 70 315 444 / 97 315 955,(216) - 73 577 170,stebenamor2@gmail.com,,Non totalement exportatrice,,15/09/1998,300 000,11.0,Banque internationale arabe de Tunisie
BEN HAMIDA ALIMENTS COMPOSES,STE BEN HAMIDA ALIMENTS COMPOSES,Makrem Ben Hmida,Industries agro-alimentaires,Aliments pour animaux de ferme.,Aliments complets pour les animaux de ferme.,RTE DE MOUREDDINE KM 5 - 4070 - M'SAKEN,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Msaken,(216) - 73 268 411,(216) - 73 268 411,makramamida@live.fr,,Non totalement exportatrice,,06/05/2006,2 580 000,10.0,Banque de l'habitat
BEN HASSEN FRERES,STE BEN HASSEN FRERES,Adel Ben Hassen,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,AVE HABIB BOURGUIBA - 4260 - DOUZ,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Kebili,Douz nord,(216) - 75 471 256,(216) - 75 470 494,,,Totalement exportatrice,,28/10/2008,1 800,22.0,Banque de Tunisie
BEN KALIA,STE BEN KALIA,Soumaya Kacem,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Conserves de poissons.,ZONE DU PORT - 4170 - ZARZIS,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Zarzis,(216) - 28 428 103 / 75 694 417,(216) - 75 684 906,sameh.kacem@gmail.com,,Non totalement exportatrice,,01/01/1998,3 050 000,176.0,Union internationale de banques
BEN LAZHARI ET CIE,STE BEN LAZHARI ET CIE,Khalil Jabrane,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,RTE BOUOMRANE - 2180 - EL GUETTAR,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Gafsa,El guetar,(216) - 98 454 024,,,,Non totalement exportatrice,,03/11/2015,790 000,10.0,Attijari Bank
BEN OTHMANE OUALID,BEN OTHMANE OUALID,Oualid Ben Othmane,Industries agro-alimentaires,Boulangerie - Pâtisserie.,Pains artisanal - Pâtisserie fraîche.,"9, RUE IBN MOEZ CARTHAGE EL YASMINA - 2016 - CARTHAGE","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Carthage,(216) - 23 777 099,,wallou39@gmail.com,,Non totalement exportatrice,,01/04/2016,-,18.0,Banque nationale agricole
BEN ROMDHANE DATTES,BEN ROMDHANE DATTES,Fathi Ben Romdhane,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,RTE DE HAMMET JERID - 2200 - TOZEUR,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Tozeur,(216) - 76 452 376,,,,Totalement exportatrice,,10/10/1994,200 000,14.0,Banque de l'habitat
BEN ROMDHANE D'HUILE D'OLIVES,STE BEN ROMDHANE D'HUILE D'OLIVES,Ridha Ben Romdhane,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,RTE DE SOUSSE KM 42 KHAZZAZIA - 3100 - KAIROUAN,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,Kairouan nord,,,,,Non totalement exportatrice,,20/11/2006,180 000,12.0,Banque Zitouna
BEN YOUNES D'ENTREPOSAGE ET D'EXPORT,STE BEN YOUNES D'ENTREPOSAGE ET D'EXPORT,Younes Rejeb,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Entreposage frigorifique de fruits et légumes.,ZAOUET EL ARAB - 2260 - DEGUECHE,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Dagach,(216) - 98 993 643,,,,Totalement exportatrice,,02/12/2019,300 000,75.0,Banque internationale arabe de Tunisie
BENA PESCA,BENA PESCA,Mourad Ben Ayed,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Poissons et autres fruits de mer congelés.,Z.I. - 4135 - AJIM,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Jerba ajim,(216) - 25 342 141 / 75 660 146,(216) - 75 660 146,,,Totalement exportatrice,,20/09/2021,900 000,47.0,Banque de l'habitat
BENI GHRIB,STE BENI GHRIB SARL,Hassen Saidi,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,AVE DU MAGHREB ARABE - 2223 - HEZOUA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Hazoua,(216) - 96 128 970 / 76 440 103,(216) - 76 440 102,,,Totalement exportatrice,Suisse - Allemagne,01/10/2003,5 000 000,130.0,Banque nationale agricole
BEST BRANDS,BEST BRANDS,Mohamed Nejib Souid,Industries agro-alimentaires,"Biscotterie, biscuiterie, pâtisserie de conservation.","Pâtisserie et gâteaux de conservation, non surgelés - Autres produits secs, sucrés ou salés.","LOT N°10, Z.I. EL AGBA - 2011 - DENDEN","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,El hararia,(216) - 71 647 233,(216) - 71 647 111,bestbrands@bestbrands.com.tn,http://www.bestbrands.com.tn,Non totalement exportatrice,Espagne,05/05/2000,2 900 000,115.0,Banque internationale arabe de Tunisie
BEST DATTES AND FRUITS,STE BEST DATTES AND FRUITS,Nizar Neji,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de fruits et légumes.,Z.I. CASTILLIA - 2200 - TOZEUR,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Tozeur,(216) - 56 541 950,,,,Totalement exportatrice,,20/04/2021,740 000,39.0,Banque de Tunisie
BEST FRIGO,BEST FRIGO,Rejeb Ali,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,RTE DE TOZEUR - 2260 - DEGUECHE,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Dagach,(216) - 76 420 594,,,,Non totalement exportatrice,,01/01/2007,1 850 000,50.0,Banque de l'habitat
BEST OLIVOIL,BEST OLIVOIL,Karim Saidane,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,FERME SAIDANE BP171 - 2082 - FOUCHANA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 98 302 069,(216) - 71 401 819,karim.saidane@planet.tn,,Totalement exportatrice,,01/11/2010,1 500 000,30.0,Banque Zitouna
BETAHER HUILE D'OLIVE,STE BETTAHER HUILE D'OLIVE,Bettaher Abd Rahmen,Industries agro-alimentaires,Huiles d'olives et conditionnement - Huiles et graisses raffinées.,Huiles  d'olive - Mise en bouteille et conditionnement des huiles végétales.,KHALLED - 9040 - TEBOURSOUK,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Teboursouk,(216) - 98 298 773,,,,Non totalement exportatrice,,03/01/2018,2 010 000,14.0,Banque de l'habitat
BFC,STE BOUZID FOOD COMPANY,Mohamed Aziz Bouzid,Industries agro-alimentaires,"Laiteries, fromageries et yaourterie.","Fromages frais - Fromages fondus, râpés ou en poudre.",Z.I. - 8070 - KORBA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Korba,(216) - 23 521 650 / 29 955 500,,haji_tarek@yahoo.fr,,Non totalement exportatrice,,15/03/2021,2 460 000,40.0,Banque de Tunisie
BIND FOOD INGREDIENTS,BIND FOOD INGREDIENTS,Aymen Ben Yaghlene,Industries agro-alimentaires,Industries alimentaires n.c.a..,"Arômes alimentaires ( Caramel, etc. ) - Autres produits alimentaires.","LOT N° 75, ESPACE INDUSTRIEL - 7026 - EL AZIB","Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Menzel jemil,(216) - 98 118 208,,bindfoodingredients@gmail.com,,Non totalement exportatrice,,26/04/2019,1 000 000,25.0,Banque nationale agricole
BIO OLIVIA,STE BIO OLIVIA,Khaled Amri,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,"RTE DE HAMMAMET, MC 28, BP N° 28 - 1100 - ZAGHOUAN","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Zaghouan,(216) - 20 343 700,(216) - 79 358 387,,,Non totalement exportatrice,,20/12/2011,343 000,10.0,Banque de Tunisie
BIO-AMANDE,STE BIO-AMANDE,Salah Ghzaiel,Industries agro-alimentaires,Industries alimentaires n.c.a..,décorticage de fruits à coque.,RTE EL HENCHA KM 2 - 3080 - JEBENIANA,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Jebeniana,(216) - 54 647 858,,bio-amande@gmail.com,,Non totalement exportatrice,,18/10/2011,94 000,10.0,Société tunisienne de banque
BIOFOOD TUNISIA,BIOFOOD TUNISIA,Yosra Chaibi,Industries agro-alimentaires,Pâtes alimentaires et couscous.,Pâtes alimentaires - Couscous.,"03, RUE JAMEL ABELNACEUR - 2084 - BORJ CEDRIA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Hammam chott,(216) - 98 143 919,,ouzji.maroua@yahoo.com,,Non totalement exportatrice,,01/05/2022,360 000,16.0,Amen Bank
BIOSCA TAMARA,BIOSCA TAMARA,Bassem Ben Abdallah,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,Z.I. NEOPARK - 1153 - EL FAJJA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Manouba,Mornaguia,(216) - 29 638 768 / 71 381 262,,benabdallah.bassem@malga.com.tn,http://www.biosca-tamara.com,Totalement exportatrice,,09/10/2022,9 030 000,309.0,Attijari Bank
BISCUITERIE TODAY,STE BISCUITERIE TODAY,Khemaies Brahem,Industries agro-alimentaires,"Biscotterie, biscuiterie, pâtisserie de conservation.","Biscuits - Pâtisserie et gâteaux de conservation, non surgelés.",AVE ALI BELHOUANE - 5080 - TEBOULBA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Teboulba,(216) - 98 770 530 / 73 493 330,(216) - 73 493 330,info.bistoday@gmail.com,,Non totalement exportatrice,,01/06/2019,70 000,20.0,Attijari Bank
BIZERTA AGRI INDUSTRY,BIZERTA AGRI INDUSTRY,Med Amine Sisaoui,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Mise en bouteille et conditionnement de l'huile d'olive.,EL AZIB - 7080 - MENZEL JEMIL,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Menzel jemil,(216) - 98 789 822,(216) - 71 947 570,amine.sifaoui@oilyssa.com,,Totalement exportatrice,,03/07/2017,1 935 530,14.0,Union internationale de banques
BK FOOD,BK FOOD,Kacem Hamdi,Industries agro-alimentaires,"Transformation, conservation, congélation et surgélation poisson et fruits de mer.",Conserves de poissons.,Z.I. - 4025 - SIDI EL HENI,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Sidi el hani,(216) - 73 280 420,(216) - 73 280 422,anis.bhar@bkfood.com.tn,,Non totalement exportatrice,,15/11/2007,4 900 000,800.0,Banque internationale arabe de Tunisie
BLAGUILAIT,STE BLAGUILAIT,Aymen Blagui,Industries agro-alimentaires,"Laiteries, fromageries et yaourterie.","Fromages à pâte molle, pressée, persillée à pâte cuite etc..",RTE TABARKA - KM28 TBOBA - 9010 - NEFZA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Nefza,(216) - 21 536 314,,aymenblagui@yahoo.fr,,Non totalement exportatrice,,26/01/2018,54 200,14.0,Société tunisienne de banque
BOLERIO,BOLERIO,Karim Gahbiche,Industries agro-alimentaires,"Biscotterie, biscuiterie, pâtisserie de conservation.",Biscuits.,Z.I. - 9080 - GOUBELLAT,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Goubellat,(216) - 78 585 477 / 78 585 475,(216) - 71 961 996 / 78 585 479,info@bolerio.com.tn,http://www.bolerio.com.tn,Non totalement exportatrice,,27/07/2011,5 280 000,93.0,Banque nationale agricole
BONELLE,STE BONELLE,Jouda Doudou,Industries agro-alimentaires,"Biscotterie, biscuiterie, pâtisserie de conservation - Chocolaterie, confiserie.",Biscottes - Biscuits - Tablettes de chocolat.,RTE DE KORBOUS - 8020 - SOLIMAN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Soliman,(216) - 72 390 715,(216) - 72 390 714,bonelleprod@gmail.com,,Totalement exportatrice,Grece,09/08/2012,5 750 000,200.0,Banque de Tunisie
BOTRIA OIL COMPANY,BOTRIA OIL COMPANY,Sadok Barkia,Industries agro-alimentaires,Huiles d'olives et conditionnement.,Huiles  d'olive.,"RTE MAHDIA KM 41, GLELJA - 3080 - JEBENIANA","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Jebeniana,(216) - 24 505 000,(216) - 74 831 612,stebotria@gmail.com,,Non totalement exportatrice,,19/12/2017,3 000 000,10.0,Banque internationale arabe de Tunisie
BOUABIDI DATTES,BOUABIDI DATTES,Mohamed Bchir Bouabidi,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Conditionnement de dattes.,RUE DE TOZEUR - 2260 - DEGUECHE,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Tozeur,Dagach,(216) - 98 311 650,(216) - 76 420 594,,,Totalement exportatrice,,17/10/2001,800 000,146.0,Union internationale de banques
BOUKCHANA D'ENTREPOSAGE FRIGORIFIQUE,STE BOUKCHANA D'ENTREPOSAGE FRIGORIFIQUE,Abderrazek Boukchana,Industries agro-alimentaires,Conditionnement et entreposage frigorifique de fruits et de légumes.,Entreposage frigorifique de fruits et légumes.,RTE GABES - 6044 - NLLE MATMATA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Nouvelle matmata,(216) - 20 358 053,,aymenboukchana@gmail.com,,Non totalement exportatrice,,03/04/2017,407 000,10.0,Banque de Tunisie
BOULANGERIE BASSATINE,BOULANGERIE BASSATINE,Wanes Hasnaoui,Industries agro-alimentaires,Boulangerie.,Pains industriels.,CITE BASSATINE - 8110 - TABARKA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Jendouba,Tabarka,(216) - 98 295 109 / 78 653 035,,,,Non totalement exportatrice,,24/01/1999,-,10.0,Banque de l'habitat
BOULANGERIE BEN HAMMOUDA,BOULANGERIE BEN HAMMOUDA,Mohamed Salah Ben Hammouda,Industries agro-alimentaires,Boulangerie.,Pains industriels.,CITE ESSOUROUR - 1250 - SBEITLA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kasserine,Sbeitla,(216) - 77 465 395,,hechbh@hotmail.fr,,Non totalement exportatrice,,01/10/1983,-,17.0,Arab Tunisian Bank
BOULANGERIE BEN KHELIFA,EL AMRI EZZEDDINE BEN KHELIFA,Ezzeddine Ben Khelifa El Amri,Industries agro-alimentaires,Boulangerie - Pâtisserie.,Pains industriels - Pâtisserie fraîche.,"26, RUE DE BEYROUTH - 2000 - LE BARDO","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Le bardo,(216) - 71 285 619,(216) - 71 285 619,,,Non totalement exportatrice,,07/11/2000,-,18.0,Société tunisienne de banque
BOULANGERIE BOUALI (SEJNANE),BOULANGERIE BOUALI (SEJNANE),Naima Zagari,Industries agro-alimentaires,Boulangerie.,Pains industriels.,AVE HABIB BOURGUIBA RTE DE BIZERTE - 7010 - SEJNENE,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Sejnane,(216) - 97 217 365 / 72 489 253,,,,Non totalement exportatrice,,26/12/1997,-,10.0,Amen Bank
BOULANGERIE BOUALI (TABARKA),BOULANGERIE BOUALI (TABARKA),Moncef Aroubi,Industries agro-alimentaires,Boulangerie.,Pains industriels.,AVE DE LA REPUBLIQUE - 8110 - TABARKA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Jendouba,Tabarka,(216) - 98 444 053 / 78 670 592,(216) - 78 671 268,,,Non totalement exportatrice,,22/05/1998,-,11.0,Banque nationale agricole
BOULANGERIE CHEDLY BEN MARZOUG,BOULANGERIE CHEDLY BEN MARZOUG,Imed Ben Marzoug,Industries agro-alimentaires,Boulangerie.,Pains industriels.,AVE ABDELHAMID EL KADHI - 4180 - JERBA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Jerba houmt souk,(216) - 24 284 202 / 75 650 006,,imedbenmarzoug@gmail.com,,Non totalement exportatrice,,01/01/1960,-,10.0,Amen Bank
BOULANGERIE CHEFAI,BOULANGERIE CHEFAI,Rafik Chefai,Industries agro-alimentaires,Boulangerie.,Pains industriels.,"32, RUE SALAH BEN YOUSSEF - 8170 - BOUSALEM","Premier district : Bizerte, Béja, Jendouba et Le Kef",Jendouba,Bousalem,(216) - 78 639 492 / 20 542 802,,anischefai@gmail.tn,,Non totalement exportatrice,,01/08/2001,-,14.0,Union internationale de banques
BOULANGERIE CHEIKH HABIB,BOULANGERIE CHEIKH HABIB,Habib Cheikh,Industries agro-alimentaires,Boulangerie.,Pains industriels.,AVE 7 NOVEMBRE - 9060 - TESTOUR,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Testour,,,,,Non totalement exportatrice,,01/03/1992,-,13.0,Amen Bank
BOULANGERIE CHORFA,BOULANGERIE CHORFA,Khaled Challakhi,Industries agro-alimentaires,Boulangerie.,Pains industriels.,RTE DE TUNIS KM 1 ECHORFA - 8100 - JENDOUBA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Jendouba,Jendouba,(216) - 98 488 952,,,,Non totalement exportatrice,,15/04/1998,-,12.0,Banque de Tunisie
BOULANGERIE CITE UNIVERSITAIRE,BOULANGERIE CITE UNIVERSITAIRE,Hamdi Mourad,Industries agro-alimentaires,Boulangerie - Pâtisserie.,Pains industriels - Pâtisserie fraîche.,AVE DE L'UMA - 8189 - JENDOUBA NORD,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Jendouba,Jendouba nord,(216) - 93 188 809 / 98 214 083,,,,Non totalement exportatrice,,15/04/1999,-,18.0,Banque internationale arabe de Tunisie
BOULANGERIE DAMAK,BOULANGERIE AHMED DAMAK,Nazih Damak,Industries agro-alimentaires,Boulangerie.,Pains industriels.,"RTE DE LAFRANE KM 1,5 - 3000 - SFAX","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax ville,(216) - 98 241 751,,,,Non totalement exportatrice,,01/01/1981,100 000,11.0,Attijari Bank
